"","ids","names","sens","identifiability"
"1","V31","V31",1.7878,TRUE
"2","V34","V34",5.3362,TRUE
"3","V20","V20",6.813,TRUE
"4","V21","V21",10.2429,FALSE
"5","V19","V19",9.6173,FALSE
"6","V4","V4",9.6174,FALSE
"7","V16","V16",4.9441,FALSE
"8","V53","V53",10.3977,FALSE
"9","V30","V30",4.6282,FALSE
"10","V55","V55",8.4827,TRUE
"11","V13","V13",8.4827,FALSE
"12","V39","V39",11.6972,FALSE
"13","V25","V25",12.7101,FALSE
"14","V24","V24",11.6093,FALSE
"15","V28","V28",11.6558,FALSE
"16","V41","V41",12.3327,FALSE
"17","V14","V14",8.0203,FALSE
"18","V38","V38",12.8014,FALSE
"19","V23","V23",11.4164,FALSE
"20","V42","V42",12.7732,FALSE
"21","V40","V40",12.7818,FALSE
"22","V3","V3",12.782,FALSE
"23","V43","V43",10.52,TRUE
"24","V56","V56",13.9044,TRUE
"25","V32","V32",13.7454,FALSE
"26","V26","V26",8.3995,FALSE
"27","V52","V52",3.6749,FALSE
"28","V51","V51",9.5581,FALSE
"29","V27","V27",10.6959,FALSE
"30","V35","V35",7.3489,TRUE
"31","V33","V33",12.2862,FALSE
"32","V54","V54",13.5015,FALSE
"33","V29","V29",13.3392,FALSE
"34","V5","V5",13.3392,FALSE
"35","V18","V18",1.4203,FALSE
"36","V22","V22",8.6115,FALSE
"37","V17","V17",6.8799,FALSE
